Date,Exercise,Muscle_group,Sets,Reps,Weight,Duration,Note,Total_volume
12/4/2022,Dumbbell Incline Bench Press,Chest,5,8,45,,,360
12/4/2022,Dumbbell Shoulder Press,Shoulders,1,8,45,,,360
12/4/2022,Dumbbell Shoulder Press,Shoulders,2,10,55,,,550
12/4/2022,Dumbbell Shoulder Press,Shoulders,3,12,45,,,540
12/4/2022,Dumbbell Overhead Triceps Extension,Triceps,1,10,45,,,450
12/4/2022,Dumbbell Overhead Triceps Extension,Triceps,2,10,45,,,450
12/4/2022,Dumbbell Overhead Triceps Extension,Triceps,3,10,45,,,450
12/4/2022,Single Arm Tricep Pushdown / Extension,Triceps,1,10,10,,,100
12/4/2022,Single Arm Tricep Pushdown / Extension,Triceps,2,10,10,,,100
12/4/2022,Single Arm Tricep Pushdown / Extension,Triceps,3,11,10,,,110
12/4/2022,Single Arm Tricep Pushdown / Extension,Triceps,4,5,15,,,75
12/4/2022,Single Arm Tricep Pushdown / Extension,Triceps,4,8,10,,,80
12/4/2022,Cable Overhead Triceps Extension,Triceps,1,14,20,,,280
12/4/2022,Cable Overhead Triceps Extension,Triceps,2,15,30,,,450
12/4/2022,Cable Overhead Triceps Extension,Triceps,3,13,20,,,260
12/4/2022,Machine Butterfly,Chest,1,15,40,,,600
12/4/2022,Machine Butterfly,Chest,2,13,40,,,520
12/4/2022,Machine Butterfly,Chest,3,10,60,,,600
12/4/2022,Machine Butterfly,Chest,4,8,80,,,640
12/4/2022,Push Up,Chest,1,15,,,Parallette Push-Up,0
12/4/2022,Push Up,Chest,2,10,,,Parallette Push-Up,0
12/5/2022,Pull Up,Back,1,10,,,,0
12/5/2022,Pull Up,Back,2,10,,,,0
12/5/2022,Chin Up,Biceps,1,5,,,,0
12/5/2022,Chin Up,Biceps,2,4,,,,0
12/5/2022,Chin Up,Biceps,3,5,,,,0
12/5/2022,Chin Up,Biceps,4,4,,,,0
12/5/2022,Dips,Triceps,1,12,,,,0
12/5/2022,Dips,Triceps,2,10,,,,0
12/5/2022,Dips,Triceps,3,14,,,,0
12/5/2022,Dips,Triceps,4,11,,,,0
12/5/2022,Dips,Triceps,5,4,,,,0
12/5/2022,Dips,Triceps,6,11,,,,0
12/5/2022,Machine Incline Chest Press,Chest,1,10,20,,,200
12/5/2022,Dumbbell Bench Press,Chest,1,12,40,,,480
12/5/2022,Dumbbell Bench Press,Chest,2,10,45,,,450
12/5/2022,Dumbbell Bench Press,Chest,3,6,50,,,300
12/5/2022,Dumbbell Bench Press,Chest,4,9,40,,,360
12/5/2022,Dumbbell Incline Bench Press,Chest,1,6,50,,,300
12/5/2022,Dumbbell Incline Bench Press,Chest,2,10,40,,,400
12/5/2022,Dumbbell Incline Bench Press,Chest,3,11,40,,,440
12/5/2022,Dumbbell Incline Bench Press,Chest,4,10,40,,,400
12/5/2022,Dumbbell Shoulder Press,Shoulders,1,6,50,,,300
12/5/2022,Dumbbell Shoulder Press,Shoulders,2,10,40,,,400
12/5/2022,Dumbbell Shoulder Press,Shoulders,3,9,40,,,360
12/5/2022,Dumbbell Shoulder Press,Shoulders,4,10,40,,,400
